Transcript_ID,Gene.refGene,Exon,Genomic_start,Genomic_end,CDS_start,CDS_end,Exon_Length
NM_001040113.2,MYH11,exon2,15708810,15708841,1,31,31
NM_001040113.2,MYH11,exon3,15714908,15715081,32,204,173
NM_001040113.2,MYH11,exon4,15715163,15715272,205,313,109
NM_001040113.2,MYH11,exon5,15717139,15717348,314,522,209
NM_001040113.2,MYH11,exon6,15718314,15718438,523,646,124
NM_001040113.2,MYH11,exon7,15719219,15719308,647,735,89
NM_001040113.2,MYH11,exon8,15719584,15719713,736,864,129
NM_001040113.2,MYH11,exon9,15720150,15720312,865,1026,162
NM_001040113.2,MYH11,exon10,15720838,15721051,1027,1239,213
NM_001040113.2,MYH11,exon11,15721421,15721634,1240,1452,213
NM_001040113.2,MYH11,exon12,15724160,15724409,1453,1701,249
NM_001040113.2,MYH11,exon13,15724646,15724799,1702,1854,153
NM_001040113.2,MYH11,exon14,15724887,15724992,1855,1959,105
NM_001040113.2,MYH11,exon15,15726847,15727054,1960,2166,207
NM_001040113.2,MYH11,exon16,15732563,15732708,2167,2311,145
NM_001040113.2,MYH11,exon17,15735365,15735578,2312,2524,213
NM_001040113.2,MYH11,exon18,15737448,15737620,2525,2696,172
NM_001040113.2,MYH11,exon19,15738564,15738688,2697,2820,124
NM_001040113.2,MYH11,exon20,15740050,15740188,2821,2958,138
NM_001040113.2,MYH11,exon21,15741462,15741669,2959,3165,207
NM_001040113.2,MYH11,exon22,15741759,15741891,3166,3297,132
NM_001040113.2,MYH11,exon23,15745128,15745237,3298,3406,109
NM_001040113.2,MYH11,exon24,15747569,15747730,3407,3567,161
NM_001040113.2,MYH11,exon25,15747873,15747943,3568,3637,70
NM_001040113.2,MYH11,exon26,15748046,15748168,3638,3759,122
NM_001040113.2,MYH11,exon27,15750137,15750331,3760,3953,194
NM_001040113.2,MYH11,exon28,15753393,15753508,3954,4068,115
NM_001040113.2,MYH11,exon29,15756340,15756514,4069,4242,174
NM_001040113.2,MYH11,exon30,15757826,15758000,4243,4416,174
NM_001040113.2,MYH11,exon31,15759575,15759728,4417,4569,153
NM_001040113.2,MYH11,exon32,15760539,15760658,4570,4688,119
NM_001040113.2,MYH11,exon33,15763795,15763891,4689,4784,96
NM_001040113.2,MYH11,exon34,15771568,15771712,4785,4928,144
NM_001040113.2,MYH11,exon35,15776077,15776176,4929,5027,99
NM_001040113.2,MYH11,exon36,15778779,15778843,5028,5091,64
NM_001040113.2,MYH11,exon37,15782384,15782477,5092,5184,93
NM_001040113.2,MYH11,exon38,15784697,15784718,5185,5205,21
NM_001040113.2,MYH11,exon39,15786629,15786732,5206,5308,103
NM_001040113.2,MYH11,exon40,15798659,15798687,5309,5336,28
NM_001040113.2,MYH11,exon41,15823254,15823411,5337,5493,157
NM_001040113.2,MYH11,exon42,15837907,15838252,5494,5838,345
NM_001382709.1,DES,exon1,219418462,219419040,1,578,578
NM_001382709.1,DES,exon2,219420094,219420155,579,639,61
NM_001382709.1,DES,exon3,219420250,219420346,640,735,96
NM_001382709.1,DES,exon4,219421483,219421560,736,812,77
NM_001382709.1,DES,exon5,219423776,219423820,813,856,44
NM_001382709.1,DES,exon6,219425662,219425745,857,939,83
NM_001382709.1,DES,exon7,219425948,219425990,940,981,42
NM_001329922.1,CALM3,exon1,46602207,46602210,1,3,3
NM_001329922.1,CALM3,exon2,46605826,46605857,4,34,31
NM_001329922.1,CALM3,exon3,46608196,46608340,35,178,144
NM_001329922.1,CALM3,exon4,46608481,46608588,179,285,107
NM_001329922.1,CALM3,exon5,46608845,46608981,286,421,136
NM_001329922.1,CALM3,exon6,46609124,46609153,422,450,29
NM_001329921.1,CALM3,exon3,46608270,46608340,1,70,70
NM_001329921.1,CALM3,exon4,46608481,46608588,71,177,107
NM_001329921.1,CALM3,exon5,46608845,46608981,178,313,136
NM_001329921.1,CALM3,exon6,46609124,46609153,314,342,29
NM_001001430.3,TNNT2,exon1,201359209,201359255,1,46,46
NM_001001430.3,TNNT2,exon2,201359622,201359663,47,87,41
NM_001001430.3,TNNT2,exon3,201361278,201361369,88,178,91
NM_001001430.3,TNNT2,exon4,201361912,201362025,179,291,113
NM_001001430.3,TNNT2,exon5,201362109,201362115,292,297,6
NM_001001430.3,TNNT2,exon6,201363295,201363406,298,408,111
NM_001001430.3,TNNT2,exon7,201364297,201364375,409,486,78
NM_001001430.3,TNNT2,exon8,201365190,201365307,487,603,117
NM_001001430.3,TNNT2,exon9,201365609,201365670,604,664,61
NM_001001430.3,TNNT2,exon10,201366837,201366871,665,698,34
NM_001001430.3,TNNT2,exon11,201367770,201367806,699,734,36
