GeneID	RNA_nucleotide_accession.version	Ensembl_rna_identifier	gene	transcript	mane_select
1	NM_130786.4	ENST00000263100.8	A1BG	NM_130786.4	True
2	NM_000014.6	ENST00000318602.12	A2M	NM_000014.6	True
9	NM_000662.8	ENST00000307719.9	NAT1	NM_000662.8	True
10	NM_000015.3	ENST00000286479.4	NAT2	NM_000015.3	True
12	NM_001085.5	ENST00000393078.5	SERPINA3	NM_001085.5	True
13	NM_001086.3	ENST00000232892.12	AADAC	NM_001086.3	True
14	NM_001087.5	ENST00000248450.9	AAMP	NM_001087.5	True
15	NM_001088.3	ENST00000392492.8	AANAT	NM_001088.3	True
16	NM_001605.3	ENST00000261772.13	AARS1	NM_001605.3	True
18	NM_020686.6	ENST00000268251.13	ABAT	NM_020686.6	True
19	NM_005502.4	ENST00000374736.8	ABCA1	NM_005502.4	True
20	NM_001606.5	ENST00000341511.11	ABCA2	NM_001606.5	True
21	NM_001089.3	ENST00000301732.10	ABCA3	NM_001089.3	True
23	NM_001025091.2	ENST00000326195.13	ABCF1	NM_001025091.2	True
24	NM_000350.3	ENST00000370225.4	ABCA4	NM_000350.3	True
25	NM_005157.6	ENST00000318560.6	ABL1	NM_005157.6	True
26	NM_001091.4	ENST00000360937.9	AOC1	NM_001091.4	True
27	NM_007314.4	ENST00000502732.6	ABL2	NM_007314.4	True
29	NM_021962.5	ENST00000302538.10	ABR	NM_021962.5	True
30	NM_001607.4	ENST00000333167.13	ACAA1	NM_001607.4	True
31	NM_198834.3	ENST00000616317.5	ACACA	NM_198834.3	True
32	NM_001093.4	ENST00000338432.12	ACACB	NM_001093.4	True
33	NM_001608.4	ENST00000233710.4	ACADL	NM_001608.4	True
34	NM_000016.6	ENST00000370841.9	ACADM	NM_000016.6	True
35	NM_000017.4	ENST00000242592.9	ACADS	NM_000017.4	True
36	NM_001609.4	ENST00000358776.7	ACADSB	NM_001609.4	True
37	NM_000018.4	ENST00000356839.10	ACADVL	NM_000018.4	True
38	NM_000019.4	ENST00000265838.9	ACAT1	NM_000019.4	True
39	NM_005891.3	ENST00000367048.5	ACAT2	NM_005891.3	True
40	NM_183377.2	ENST00000225823.7	ASIC2	NM_183377.2	True
41	NM_001095.4	ENST00000447966.7	ASIC1	NM_001095.4	True
43	NM_000665.5	ENST00000241069.11	ACHE	NM_000665.5	True
47	NM_001096.3	ENST00000352035.7	ACLY	NM_001096.3	True
48	NM_002197.3	ENST00000309951.8	ACO1	NM_002197.3	True
49	NM_001097.3	ENST00000216139.10	ACR	NM_001097.3	True
50	NM_001098.3	ENST00000216254.9	ACO2	NM_001098.3	True
51	NM_004035.7	ENST00000293217.10	ACOX1	NM_004035.7	True
52	NM_004300.4	ENST00000272065.10	ACP1	NM_004300.4	True
53	NM_001610.4	ENST00000672073.1	ACP2	NM_001610.4	True
54	NM_001611.5	ENST00000648477.1	ACP5	NM_001611.5	True
55	NM_001099.5	ENST00000336375.10	ACP3	NM_001099.5	True
56	NM_001612.6	ENST00000533904.6	ACRV1	NM_001612.6	True
58	NM_001100.4	ENST00000366684.7	ACTA1	NM_001100.4	True
59	NM_001613.4	ENST00000224784.10	ACTA2	NM_001613.4	True
60	NM_001101.5	ENST00000646664.1	ACTB	NM_001101.5	True
70	NM_005159.5	ENST00000290378.6	ACTC1	NM_005159.5	True
71	NM_001614.5	ENST00000573283.7	ACTG1	NM_001614.5	True
72	NM_001615.4	ENST00000345517.8	ACTG2	NM_001615.4	True
81	NM_004924.6	ENST00000252699.7	ACTN4	NM_004924.6	True
86	NM_004301.5	ENST00000429709.7	ACTL6A	NM_004301.5	True
87	NM_001130004.2	ENST00000394419.9	ACTN1	NM_001130004.2	True
88	NM_001103.4	ENST00000366578.6	ACTN2	NM_001103.4	True
89	NM_001104.4	ENST00000513398.2	ACTN3	NM_001104.4	True
90	NM_001111067.4	ENST00000434821.7	ACVR1	NM_001111067.4	True
91	NM_004302.5	ENST00000257963.9	ACVR1B	NM_004302.5	True
92	NM_001616.5	ENST00000241416.12	ACVR2A	NM_001616.5	True
93	NM_001106.4	ENST00000352511.5	ACVR2B	NM_001106.4	True
94	NM_000020.3	ENST00000388922.9	ACVRL1	NM_000020.3	True
95	NM_000666.3	ENST00000636358.2	ACY1	NM_000666.3	True
97	NM_001107.5	ENST00000238618.8	ACYP1	NM_001107.5	True
98	NM_001320586.2	ENST00000607452.6	ACYP2	NM_001320586.2	True
100	NM_000022.4	ENST00000372874.9	ADA	NM_000022.4	True
101	NM_001109.5	ENST00000445355.8	ADAM8	NM_001109.5	True
102	NM_001110.4	ENST00000260408.8	ADAM10	NM_001110.4	True
103	NM_001111.5	ENST00000368474.9	ADAR	NM_001111.5	True
104	NM_001112.4	ENST00000348831.9	ADARB1	NM_001112.4	True
105	NM_018702.4	ENST00000381312.6	ADARB2	NM_018702.4	True
